"","Subject","Image","Threatened_Rating","Surprise_Rating","Suffering_Rating","SociallyAcceptable_Rating","Sadness_Rating","Relate_Rating","Pleasant_Rating","Narrative_Rating","Joy_Rating","Interact_Rating","Immoral_Rating","Fear_Rating","Disgust_Rating","Desire_Rating","Contamination_Rating","Avoid_Rating","Astonished_Rating","Anger_Rating","Affection_Rating"
"268","sub-sid000971","AC-beauty.jpg",6.07000973,4.987412284,1.283837317,74.8852193,43.47653004,14.97053023,78.70127909,73.10910666,65.05969524,11.20750861,12.57597738,58.21099777,78.94035733,12.6798814,7.871379097,67.81769218,73.35022304,76.00493039,5.014894226
"269","sub-sid000120","AC-beauty.jpg",13.45442814,11.99835601,17.83035371,83.29639784,56.78224739,12.2838987,79.15389785,81.80371857,34.99033285,5.325627298,1.585535086,67.14269197,84.72162637,11.66195784,10.21612434,5.269586684,60.28915129,62.51315763,6.511862304
"270","sub-sid000976","AC-beauty.jpg",-0.740733775,6.03560261,6.685910585,92.78173231,45.34652308,12.20384012,84.65103068,85.28630121,33.05255474,8.799809148,0.313682543,55.75442162,80.28048878,6.062289054,-11.90742223,4.150286773,91.21397107,42.96306056,0.91797471
"271","sub-sid000922","AC-beauty.jpg",3.092476947,5.458456925,11.66035521,58.15297666,53.21351519,6.28583149,63.71428151,76.63266212,44.35104369,18.93823023,1.892691547,35.57661458,69.64320305,18.20043335,10.07338491,63.07404378,63.52521621,48.7673456,7.114288566
"272","sub-sid000954","AC-beauty.jpg",-2.558472142,12.93846498,57.62490394,71.62922875,53.44639642,24.7398304,79.0054666,96.55418858,76.10031722,3.77703054,13.56220268,85.55940273,97.90714983,1.252221677,-0.65103011,98.90230345,89.720995,74.84436914,0.996077093
"273","sub-sid000866","AC-beauty.jpg",14.10576994,39.66462842,10.51344212,58.26039224,37.773564,8.263198806,93.03920217,82.60205463,50.54795201,20.25276581,-2.926299672,67.2432981,74.44750456,27.39288407,9.789257506,61.73947658,64.57735898,52.61743546,6.506591936
"274","sub-sid000878","AC-beauty.jpg",6.439960962,7.017780323,2.267035985,84.19182259,45.92135734,-12.14957556,71.17247225,77.17003225,43.87654604,1.526035188,10.39406143,58.05218841,54.43066272,0.804962093,5.28808669,1.325421544,63.66381823,58.016515,7.525089789
"275","sub-sid000889","AC-beauty.jpg",-1.941126718,46.30457531,-1.057395551,88.62275584,75.48912698,-5.773905884,47.99942172,91.9870195,80.33793503,10.31700498,-5.875347354,36.85298842,73.55980231,4.72718245,-5.693453362,79.96884492,75.12656504,53.85786549,10.73626289
"276","sub-sid000880","AC-beauty.jpg",-0.046293756,8.262317788,-0.127965891,67.07218605,52.55993905,0.189420449,83.4050088,99.72038745,41.69985139,-3.88471048,2.430052351,61.58799939,61.71789475,1.621021174,0.595914132,38.01451557,52.92400806,46.22666342,4.356876995
"277","sub-sid000973","AC-beauty.jpg",24.29993002,29.9173535,5.448953698,85.75577487,34.03310293,63.85313836,63.03952865,66.90176928,15.4990141,27.01526076,8.749735696,47.09187708,48.69206179,62.53037418,22.7139253,38.27845668,28.32910581,68.99524151,3.711945955
